iter	Logloss
0	0.6893422093
1	0.6855852777
2	0.6820360684
3	0.6788351739
4	0.6758052942
5	0.6727898639
6	0.6701312863
7	0.6676425404
8	0.6652057011
9	0.6628343918
10	0.6606624653
11	0.6586785509
12	0.6568445684
13	0.6550756021
14	0.6534119464
15	0.6518659724
16	0.6504274256
17	0.6489650929
18	0.647587605
19	0.6462958906
20	0.6450524501
21	0.6439275381
22	0.6428767638
23	0.6418590838
24	0.6409216594
25	0.639994517
26	0.6391049064
27	0.6382280384
28	0.6374714955
29	0.6367431158
30	0.6360029037
31	0.6353438482
32	0.6347596044
33	0.6341833234
34	0.6335490237
35	0.6329791998
36	0.632465904
37	0.6319396942
38	0.6314244399
39	0.6308902626
40	0.6304702296
41	0.6300290987
42	0.6296566062
43	0.6292669205
44	0.6288070701
45	0.6284496545
46	0.6281512431
47	0.6278318965
48	0.6274799167
49	0.6271548288
50	0.6268654843
51	0.6265837973
52	0.6262648764
53	0.6259883926
54	0.6257401358
55	0.6254905311
56	0.6252906226
57	0.6250720418
58	0.6248540834
59	0.624627774
60	0.6244515656
61	0.6242664317
62	0.6240972306
63	0.6238581596
64	0.6236362169
65	0.6234624898
66	0.6232983068
67	0.623113595
68	0.6229488898
69	0.6227649462
70	0.6226204996
71	0.6224799714
72	0.6223161241
73	0.6221956943
74	0.6220559603
75	0.6219152069
76	0.6217811166
77	0.6215990072
78	0.62142323
79	0.6212736435
80	0.621148975
81	0.6210305073
82	0.6209008535
83	0.6207854713
84	0.6206594992
85	0.6205406184
86	0.6204250149
87	0.6203131128
88	0.6202093734
89	0.6200830589
90	0.6199509975
91	0.6198436713
92	0.6197605752
93	0.619647614
94	0.6195509436
95	0.6194488614
96	0.61934911
97	0.6191754148
98	0.6190760955
99	0.6189912079
100	0.6189020332
101	0.6187770256
102	0.6186807993
103	0.6186019314
104	0.6185196675
105	0.6184209187
106	0.6183599802
107	0.6182616664
108	0.6181568504
109	0.6180412712
110	0.6179674734
111	0.6178573013
112	0.6178008539
113	0.6177003096
114	0.6176242886
115	0.6175609084
116	0.6174900561
117	0.6174111936
118	0.617331201
119	0.6172373278
120	0.6171615723
121	0.6171108504
122	0.6169983087
123	0.6169125538
124	0.616832614
125	0.616742683
126	0.6166449694
127	0.6165524459
128	0.6164585234
